station_id,station_name,lon,lat
vm_001,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881
vm_002,Glomma ved Sarpsfoss,11.134197971395443,59.27790389575775
vm_003,Mosseelva oppstrøms Mossefossen (VANU),10.670645265241653,59.43936133047552
vm_004,"Såna (Hølenelva), HOLN",10.741665577258567,59.53924605950765
vm_005,Årungen utløp,10.738661618518323,59.70139014261122
vm_006,"Akerselva, hovedmålestasjon",10.753496055695072,59.91945253580997
vm_007,"Lysakerelva hovedmålestasjon,  LYS 6",10.636077546503817,59.9147906128323
vm_008,Sandvikselva ved Bjørnegårdssvingen ,10.50790602677635,59.89345302578126
vm_009,ÅROS (ÅRO-206),10.49855327915167,59.71147735141256
vm_011,Lierelva v/Røykenveien,10.280839826716171,59.753235006823424
vm_012,Drammenselva ved Mjøndalen bru,10.009033532176467,59.753432049450396
vm_013,Gunnestad/ Gran,10.217438022562982,59.60016079977848
vm_014,Aulielva - Broen,10.345704039297797,59.29067799146698
vm_015,Numedalslågen ved Bommestad (E18),10.06855345984204,59.0860983710875
vm_016,Skienselva ved Klosterfossen,9.611354889014294,59.198077558884364
vm_017,Kammerfosselva,9.352876556559336,58.8752953079521
vm_018,Storelva (1.10),8.912617000265008,58.64182800042981
vm_019,Nidelva (Aust-Agder),8.641362811159441,58.40384820411394
vm_020,Tovdalselva ved Dønnestad,8.11413139908707,58.21527171369264
vm_021,Otra ved Skråstad,7.952947266644522,58.1866689584019
vm_022,Mandalselva ved Holmesland,7.545629979767432,58.14314513622443
vm_023,Audna ved Melhusfossen (L6),7.339256171021682,58.125313161698855
vm_024,Lygna,7.0875776977959255,58.16305043911912
vm_025,Kvina,6.960605621658415,58.311831757050285
mvm_00031,Bäveån Uddevalla,11.939269389911125,58.34711670271322
mvm_00032,Örekilsälven Munkedal,11.685874384636776,58.46036301679197
mvm_00035,Enningdalsälv N.Bullaren,11.537396941257832,58.87716846515001
mvm_00043,"Göta älv, Alelyckan",12.002376671928902,57.76386468419357
mvm_42954,"Strömsån, utflöde",11.174886533900237,58.9394215975321
oda_1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.374122712697094
oda_2000005,"ELLING Å, ELLING KIRKE",10.485344650756199,57.47237389414899
oda_2000006,"SÆBY Å, HUMMELBRO",10.487633448652367,57.33861748607309
oda_2000014,"KNASBORG Å, V. HOVEDVEJEN",10.412861481244725,57.58261253289834
oda_3000002,"UGGERBY Å, NS RANSBÆK",10.108817453906482,57.56910827249825
oda_4000005,"LIVER Å, RØDE BRO",9.898407784203506,57.51590170814275
oda_5000003,"VOER Å, FÆBROEN",10.437868809829062,57.20834909244913
oda_8000001,"GERÅ, MELHOLT KIRKE",10.351597115359985,57.103714926243036
oda_15000002,"KASTBJERG Å, NORUP",10.103504733526544,56.67621751407773
oda_15000032,"HASLEVGÅRDS Å, TRÆPÆLEBRO",10.228893409772324,56.79568089126407
oda_15000034,"VALSGÅRD BÆK, VED TRENBAKKE",9.853143021180307,56.65318953005722
oda_15000035,"VILLESTRUP Å, Ns Oue Mølle",10.01121894521585,56.68512296774615
oda_15000047,"VIVE MØLLEBÆK, VIVEBROGÅRD",10.0410323152591,56.696512335697285
oda_15000280,"Brødens grøft, Brødens grøft.",10.242520118057882,56.72547443600355
oda_15001034,"Onsild Å, Afløb Hobro Vestfjord",9.796714731010283,56.6403653876596
oda_21000409,"ALLING Å, RINGVEJ OPST. GRUND FJORD",10.312868797541046,56.468366246029866
oda_21005483,"Tvede Å, Markvejsbro 350 m nedstrøms Gjesinggård, ved Lunde",10.184635497352856,56.556459565913535
oda_21006207,"Gudenå, Randers Bro",10.039643750115019,56.456839540451796
oda_21006515,"Øster Tørslev Å, Øst f. Ågård",10.220015482109533,56.5729281793491
